Married,Credit.Guidelines,Other.Obligations. As.Percent. Of. Income,Non-Hispanic White,Non-Hispanic Black,Hispanic,Male,Approved,Present Loan to Value
1,1,34.5,1,0,0,1,0,0.7542373
0,1,34.1,1,0,0,1,1,0.8
1,1,26,1,0,0,1,1,0.8951049
1,1,37,1,0,0,1,1,0.6
0,1,32.1,1,0,0,1,1,0.8955224
0,1,33,1,0,0,1,1,0.8043478
0,1,36,1,0,0,1,1,0.8980892
1,1,37,1,0,0,1,1,0.7976879
1,1,30.7,1,0,0,1,1,1.003009
1,1,49,1,0,0,1,1,0.6327014
1,1,37,1,0,0,1,1,0.5047591
1,0,37.1,1,0,0,1,0,0.7037037
1,1,42,1,0,0,1,1,0.752381
1,1,32,1,0,0,1,1,0.7692308
1,1,16,0,1,0,1,1,0.2030457
1,1,37.1,1,0,0,1,1,0.8974359
1,1,32.2,1,0,0,1,1,0.8
1,1,26,1,0,0,1,1,0.6705883
1,1,27,1,0,0,1,1,0.9018088
1,1,37.2,1,0,0,1,1,0.9438776
1,1,36,1,0,0,0,1,0.9
1,1,16,1,0,0,1,1,0.4807692
1,1,36,1,0,0,1,1,1
0,1,29.2,1,0,0,1,1,0.6944444
1,1,18,1,0,0,1,1,0.5652174
1,1,27.9,0,1,0,1,1,0.9478261
0,1,34,1,0,0,1,0,0.8
1,1,38.4,1,0,0,1,1,0.95
1,1,14,1,0,1,1,1,0.2982456
0,1,34.8,1,0,0,1,1,0.8
1,1,28.7,1,0,0,1,1,0.5555556
0,1,40.4,1,0,0,1,1,0.7991453
1,1,73,1,0,0,1,1,1
0,0,27.9,0,1,0,0,0,0.8
0,1,38.2,0,1,0,0,1,0.95
1,1,27,1,0,0,1,0,0.7515528
0,1,35,1,0,0,0,1,1.127119
0,1,33,1,0,0,1,1,0.7
1,1,35,1,0,0,1,1,0.9090909
1,1,32.1,1,0,0,1,1,0.8984375
1,0,35,1,0,0,1,0,0.8
1,1,16,1,0,0,1,1,0.8
1,1,30,1,0,0,0,1,0.3703704
1,1,27.5,1,0,0,1,1,0.8
1,0,32.4,0,1,0,1,0,0.8873239
1,1,34,1,0,0,1,1,0.8
0,1,26.7,1,0,0,1,1,0.8
1,0,31,1,0,1,1,0,0.8
0,1,30,0,1,0,1,1,0.9491525
1,1,38.2,0,1,0,1,1,0.6782609
1,1,35,1,0,0,1,1,0.9556962
1,1,34,1,0,0,1,1,0.7666667
0,1,38,1,0,1,0,1,1.085714
1,0,38,1,0,0,1,0,0.8939394
0,1,34,1,0,1,1,1,0.8909091
1,1,25,1,0,0,1,1,0.7920792
1,1,34,1,0,0,1,1,0.9027778
1,1,24,1,0,0,1,1,0.8
1,1,35.5,1,0,0,1,1,0.5072464
1,1,24,1,0,0,1,1,0.5666667
1,1,23.5,1,0,0,0,1,0.678337
0,1,23,1,0,0,1,1,0.8891752
0,1,28,1,0,0,1,1,0.6206896
1,1,29,1,0,0,1,1,0.6969697
0,1,37,1,0,0,1,0,0.4658537
1,1,42,1,0,0,1,1,0.9044118
0,1,40,1,0,0,1,1,0.884058
1,0,25,1,0,1,1,1,0.5037037
0,1,22,1,0,0,1,1,0.8
1,1,36,1,0,0,0,1,0.8701299
1,1,28,1,0,0,1,1,0.75
1,1,21.9,1,0,0,0,1,0.7801418
1,1,29.4,1,0,1,1,1,0.9019608
1,1,39.7,1,0,0,1,1,0.840678
1,1,29.8,1,0,0,1,1,0.9
0,1,35.7,1,0,0,1,1,0.6977612
0,1,31.5,1,0,0,1,1,0.6206896
0,1,45,1,0,0,1,1,0.8387097
0,1,33,0,1,0,0,1,0.0210526
1,1,34,0,1,0,1,1,0.885906
0,0,38.9,1,0,0,1,0,0.9529412
1,1,47,1,0,0,1,1,0.8
0,1,42,1,0,0,1,1,0.8982036
0,1,36,1,0,0,1,0,0.949495
0,1,75,0,1,0,0,1,1
1,1,25,1,0,0,1,1,0.8
0,1,21,1,0,0,1,1,0.3030303
1,1,28,0,1,0,1,1,0.8
1,1,34,1,0,0,1,1,0.7507693
1,1,34,1,0,0,0,1,0.9013453
1,1,32,1,0,0,1,1,0.953125
1,0,36,1,0,0,1,0,0.7359307
0,1,39,1,0,0,1,0,0.7980769
0,1,42,0,1,0,0,0,0.9135802
0,1,39,1,0,0,1,1,0.7654321
1,1,31,0,1,0,1,1,0.8030303
0,1,23.1,1,0,0,1,1,0.870229
0,1,38,1,0,0,1,0,0.9034483
1,1,50,1,0,1,0,1,0.5079365
0,1,22,1,0,0,1,1,0.8533334
0,1,35.3,1,0,0,0,1,0.9439253
0,1,36.5,1,0,0,0,1,0.8
1,1,31,1,0,0,1,1,0.9011628
1,1,29,1,0,0,1,1,0.6666667
1,1,36,0,1,0,1,1,0.8394161
1,1,34,1,0,0,1,1,0.7368421
1,0,21,1,0,0,1,0,0.4878049
0,1,37,1,0,0,1,1,0.8196721
1,1,35.7,1,0,0,1,1,0.9215686
1,1,36.8,1,0,1,0,1,0.89779
0,1,36,1,0,0,0,1,0.9
0,1,35,1,0,0,1,1,0.75
0,1,26,1,0,0,1,1,0.8
0,1,29,1,0,0,1,1,0.3389831
0,1,22.3,1,0,1,0,1,0.6586826
1,1,32.2,1,0,0,1,1,0.9030303
0,1,37,0,1,0,1,0,0.6923077
0,1,27,1,0,0,1,1,0.8
1,1,32,1,0,1,1,0,0.6962963
1,1,19,1,0,0,1,1,0.7631161
1,1,21.2,1,0,0,1,1,0.5333334
0,1,32,1,0,0,0,1,0.75
0,1,25,1,0,0,1,1,0.28
1,1,33,1,0,1,1,1,0.6678572
1,1,34.1,0,1,0,1,1,0.8977556
1,0,58,1,0,0,1,1,1
1,1,31.6,1,0,0,1,1,0.808
1,1,36,1,0,0,1,1,0.8
1,1,30,1,0,0,0,1,0.6666667
1,1,22,1,0,0,1,1,0.8933333
1,1,33,1,0,0,1,1,0.4748982
0,1,27.6,1,0,0,0,1,1.011905
1,1,36.1,1,0,0,1,1,0.7982456
0,1,36,1,0,0,0,1,0.6410257
1,1,37.1,1,0,0,1,1,0.8
0,1,30,1,0,0,1,1,0.8
0,1,41,1,0,0,1,1,0.8
1,1,17,1,0,0,1,1,0.7936508
1,1,21,1,0,0,1,1,0.7466667
1,1,33.2,1,0,0,1,1,0.9009901
1,1,28.8,1,0,0,1,1,0.7478261
1,1,38.1,1,0,0,1,1,0.5536481
1,0,37,1,0,0,0,0,0.9230769
1,1,39.3,1,0,0,1,1,0.7954546
1,1,49,1,0,0,1,1,0.9022557
1,1,17,1,0,0,1,0,0.8011696
0,1,30,1,0,0,1,1,0.5298013
0,1,39.8,1,0,0,0,1,0.7160494
0,1,36,1,0,0,0,1,0.7777778
0,0,33.8,1,0,0,1,0,0.7783784
0,1,33,1,0,0,1,1,0.8089431
