Married,Credit.Guidelines,Other.Obligations. As.Percent. Of. Income,Non-Hispanic White,Non-Hispanic Black,Hispanic,Male,Approved,Present Loan to Value
1,1,34.10%,1,0,0,1,0,80.00%
0,1,26.00%,1,0,0,1,1,89.50%
1,1,37.00%,1,0,0,1,1,60.00%
1,1,32.10%,1,0,0,1,1,89.60%
0,1,33.00%,1,0,0,1,1,80.40%
0,1,36.00%,1,0,0,1,1,89.80%
0,1,37.00%,1,0,0,1,1,79.80%
1,1,30.70%,1,0,0,1,1,100.30%
1,1,49.00%,1,0,0,1,1,63.30%
1,1,37.00%,1,0,0,1,1,50.50%
1,1,37.10%,1,0,0,1,1,70.40%
1,0,42.00%,1,0,0,1,0,75.20%
1,1,32.00%,1,0,0,1,1,76.90%
1,1,16.00%,1,0,0,1,1,20.30%
1,1,0.40%,0,1,0,1,1,89.70%
1,1,32.20%,1,0,0,1,1,80.00%
1,1,26.00%,1,0,0,1,1,67.10%
1,1,27.00%,1,0,0,1,1,90.20%
1,1,37.20%,1,0,0,1,1,94.40%
1,1,36.00%,1,0,0,1,1,90.00%
1,1,16.00%,1,0,0,0,1,48.10%
1,1,36.00%,1,0,0,1,1,100.00%
1,1,29.20%,1,0,0,1,1,69.40%
0,1,18.00%,1,0,0,1,1,56.50%
1,1,27.90%,1,0,0,1,1,94.80%
1,1,34.00%,0,1,0,1,1,80.00%
0,1,38.40%,1,0,0,1,0,95.00%
1,1,14.00%,1,0,0,1,1,29.80%
1,1,34.80%,1,0,1,1,1,80.00%
0,1,28.70%,1,0,0,1,1,55.60%
1,1,40.40%,1,0,0,1,1,79.90%
0,1,73.00%,1,0,0,1,1,100.00%
1,1,27.90%,1,0,0,1,1,80.00%
0,0,38.20%,0,1,0,0,0,95.00%
0,1,27.00%,0,1,0,0,1,75.20%
1,1,35.00%,1,0,0,1,0,112.70%
0,1,33.00%,1,0,0,0,1,70.00%
0,1,35.00%,1,0,0,1,1,90.90%
1,1,32.10%,1,0,0,1,1,89.80%
1,1,35.00%,1,0,0,1,1,80.00%
1,0,16.00%,1,0,0,1,0,80.00%
1,1,30.00%,1,0,0,1,1,37.00%
1,1,27.50%,1,0,0,0,1,80.00%
1,1,32.40%,1,0,0,1,1,88.70%
1,0,34.00%,0,1,0,1,0,80.00%
1,1,26.70%,1,0,0,1,1,80.00%
0,1,31.00%,1,0,0,1,1,80.00%
1,0,30.00%,1,0,1,1,0,94.90%
0,1,38.20%,0,1,0,1,1,67.80%
1,1,35.00%,0,1,0,1,1,95.60%
1,1,34.00%,1,0,0,1,1,76.70%
1,1,38.00%,1,0,0,1,1,108.60%
0,1,38.00%,1,0,1,0,1,89.40%
1,0,34.00%,1,0,0,1,0,89.10%
0,1,25.00%,1,0,1,1,1,79.20%
1,1,34.00%,1,0,0,1,1,90.30%
1,1,24.00%,1,0,0,1,1,80.00%
1,1,35.50%,1,0,0,1,1,50.70%
1,1,24.00%,1,0,0,1,1,56.70%
1,1,23.50%,1,0,0,1,1,67.80%
1,1,23.00%,1,0,0,0,1,88.90%
0,1,28.00%,1,0,0,1,1,62.10%
0,1,29.00%,1,0,0,1,1,69.70%
1,1,37.00%,1,0,0,1,1,46.60%
0,1,42.00%,1,0,0,1,0,90.40%
1,1,40.00%,1,0,0,1,1,88.40%
0,1,25.00%,1,0,0,1,1,50.40%
1,0,22.00%,1,0,1,1,1,80.00%
0,1,36.00%,1,0,0,1,1,87.00%
1,1,28.00%,1,0,0,0,1,75.00%
1,1,21.90%,1,0,0,1,1,78.00%
1,1,29.40%,1,0,0,0,1,90.20%
1,1,39.70%,1,0,1,1,1,84.10%
1,1,29.80%,1,0,0,1,1,90.00%
1,1,35.70%,1,0,0,1,1,69.80%
0,1,31.50%,1,0,0,1,1,62.10%
0,1,45.00%,1,0,0,1,1,83.90%
0,1,33.00%,1,0,0,1,1,2.10%
0,1,34.00%,0,1,0,0,1,88.60%
1,1,38.90%,0,1,0,1,1,95.30%
0,0,47.00%,1,0,0,1,0,80.00%
1,1,42.00%,1,0,0,1,1,89.80%
0,1,36.00%,1,0,0,1,1,94.90%
0,1,75.00%,1,0,0,1,0,100.00%
0,1,25.00%,0,1,0,0,1,80.00%
1,1,21.00%,1,0,0,1,1,30.30%
0,1,28.00%,1,0,0,1,1,80.00%
1,1,34.00%,0,1,0,1,1,75.10%
